Iteration,Method,Time_ms,Residual
85,SymmetricGS_Chebyshev,104.36,3.67515e-05
86,Jacobi,55.7684,5.66105e-16
86,GaussSeidel,12.1515,7.76916e-11
86,SymmetricGS,76.2102,5.66105e-16
86,SymmetricGS_Chebyshev,106.266,0.000215273
87,Jacobi,56.3145,5.66105e-16
87,GaussSeidel,11.9555,7.76916e-11
87,SymmetricGS,76.4841,5.66105e-16
87,SymmetricGS_Chebyshev,106.355,6.78004e-05
88,Jacobi,57.1729,5.66105e-16
88,GaussSeidel,12.2396,7.76916e-11
88,SymmetricGS,77.8296,5.66105e-16
88,SymmetricGS_Chebyshev,107.037,0.0001491
89,Jacobi,57.2448,5.66105e-16
89,GaussSeidel,11.9675,7.76916e-11
89,SymmetricGS,78.2738,5.66105e-16
89,SymmetricGS_Chebyshev,107.619,7.96626e-05
90,Jacobi,58.4603,5.66105e-16
90,GaussSeidel,11.83,7.76916e-11
90,SymmetricGS,79.3604,5.66105e-16
90,SymmetricGS_Chebyshev,109.439,9.68951e-05
91,Jacobi,58.965,5.66105e-16
91,GaussSeidel,11.7541,7.76916e-11
91,SymmetricGS,79.9391,5.66105e-16
91,SymmetricGS_Chebyshev,109.881,7.86374e-05
92,Jacobi,59.4918,5.66105e-16
92,GaussSeidel,11.8026,7.76916e-11
92,SymmetricGS,81.0761,5.66105e-16
92,SymmetricGS_Chebyshev,111.72,5.77882e-05
93,Jacobi,60.327,5.66105e-16
93,GaussSeidel,11.7336,7.76916e-11
93,SymmetricGS,81.6881,5.66105e-16
93,SymmetricGS_Chebyshev,111.974,7.0312e-05
94,Jacobi,60.876,5.66105e-16
94,GaussSeidel,11.7097,7.76916e-11
94,SymmetricGS,82.4964,5.66105e-16
94,SymmetricGS_Chebyshev,113.238,3.00179e-05
95,Jacobi,60.8496,5.66105e-16
95,GaussSeidel,11.7241,7.76916e-11
95,SymmetricGS,83.6949,5.66105e-16
95,SymmetricGS_Chebyshev,113.514,5.86501e-05
96,Jacobi,62.2602,5.66105e-16
96,GaussSeidel,11.8809,7.76916e-11
96,SymmetricGS,84.7089,5.66105e-16
96,SymmetricGS_Chebyshev,117.409,1.16123e-05
97,Jacobi,62.3891,5.66105e-16
97,GaussSeidel,11.8272,7.76916e-11
97,SymmetricGS,85.6503,5.66105e-16
97,SymmetricGS_Chebyshev,114.921,4.62441e-05
98,Jacobi,63.1988,5.66105e-16
98,GaussSeidel,11.7817,7.76916e-11
98,SymmetricGS,86.253,5.66105e-16
98,SymmetricGS_Chebyshev,115.918,3.3398e-06
99,Jacobi,63.8003,5.66105e-16
